ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,Marcas,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Meta: _wp_page_template","Meta: _saleflash_text","Meta: hubwoo_ecomm_pro_id","Meta: _generate-sidebar-layout-meta","Meta: woolentor_views_count_product","Meta: _wt_css","Meta: _wt_styles","Meta: _jet_woo_template","Meta: _template_type","Meta: site-sidebar-layout","Meta: ast-site-content-layout","Meta: site-content-style","Meta: site-sidebar-style","Meta: theme-transparent-header-meta","Meta: astra-migrate-meta-layouts","Meta: site-content-layout","Meta: _elementor_template_type","Meta: _elementor_version","Meta: _elementor_pro_version","Meta: _selectproduct_layout","Meta: woolentor_cart_custom_content","Meta: woolentor_total_stock_quantity"
323,simple,,,"Dispensador Básico + 1 Bidón de 20 lt con envase",1,0,visible,,,,,taxable,,1,,,Color,"Blanco\, celeste.",1,0,default,,339423764,no-sidebar,6,,,,,,,,,,,,,,,,,
324,simple,,,"Dispensador Básico + 2 Bidones de 20 lt con envase",1,0,visible,,,,,taxable,,1,,,Color,"Blanco\, celeste.",1,0,default,,339432385,no-sidebar,1,,,,,,,,,,,,,,,,,
325,simple,,,"Dispensador Básico + 3 Bidones de 20 lt con envase",1,0,visible,,,,,taxable,,1,,,Color,"Blanco\, celeste.",1,0,default,,339432387,no-sidebar,,,,,,,,,,,,,,,,,,
326,simple,,,"Dispensador Básico + 4 Bidones 20 lt con envase",1,0,visible,,,,,taxable,,1,,,Color,"Blanco\, celeste.",1,0,default,,339417284,no-sidebar,1,"'@media (min-width:769px){
	/* Post Title */
	.entry-content .product h1{
		font-size:30px;
	}
	
}","/* [rule=font-size] [selector=yp-sym-uentryyp-sym-tcontentyp-sym-uproducth1] [msize=(min-width:769px)] */
 @media (min-width:769px){.entry-content .product h1{font-size:30px}}",,,,,,,,,,,,,,,
327,simple,,,"Bomba Eléctrica USB + 1 Bidón de 20 lt con envase",1,0,visible,,,,,taxable,,1,,,,,,,default,,339441068,no-sidebar,3,,,,,,,,,,,,,,,,,
328,simple,,,"Bomba Eléctrica USB + 2 Bidones de 20 lt con envase",1,0,visible,,,,,taxable,,1,,,,,,,default,,339454023,no-sidebar,2,,,,,,,,,,,,,,,,,
329,simple,,,"Bomba Eléctrica USB + 3 Bidones de 20 lt con envase",1,0,visible,,,,,taxable,,1,,,,,,,default,,339447105,no-sidebar,,"/* Post Title */
.entry-content .product h1{
	margin-bottom:89px !important;
}","/* [rule=margin-bottom] [selector=yp-sym-uentryyp-sym-tcontentyp-sym-uproducth1] [msize=desktop] */
 .entry-content .product h1{margin-bottom:89px !important}",,,,,,,,,,,,,,,
330,simple,,,"Bomba Eléctrica USB + 4 Bidones 20 lt con envase",1,0,visible,,,,,taxable,,1,,,,,,,default,,339423650,no-sidebar,,"/* Body */
body{
	background-size:contain;
	padding-left:0px;
	padding-right:0px;
	padding-top:0px;
	padding-bottom:0px;
	width:100%;
	overflow:scroll;
	min-width:0px;
	min-height:0px;
	background-color:#ffffff;
	background-blend-mode:normal;
	max-height:0px;
	height:0px;
	border-width:0px;
	border-top-width:0px;
	border-right-width:0px;
	cursor:auto;
}","/* [rule=background-size] [selector=body] [msize=desktop] */
 body{background-size:contain}
/* [rule=padding-left] [selector=body] [msize=desktop] */
 body{padding-left:0px}
/* [rule=padding-right] [selector=body] [msize=desktop] */
 body{padding-right:0px}
/* [rule=padding-top] [selector=body] [msize=desktop] */
 body{padding-top:0px}
/* [rule=padding-bottom] [selector=body] [msize=desktop] */
 body{padding-bottom:0px}
/* [rule=width] [selector=body] [msize=desktop] */
 body{width:100%}
/* [rule=overflow] [selector=body] [msize=desktop] */
 body{overflow:scroll}
/* [rule=min-width] [selector=body] [msize=desktop] */
 body{min-width:0px}
/* [rule=min-height] [selector=body] [msize=desktop] */
 body{min-height:0px}
/* [rule=background-color] [selector=body] [msize=desktop] */
 body{background-color:#ffffff}
/* [rule=background-blend-mode] [selector=body] [msize=desktop] */
 body{background-blend-mode:normal}
/* [rule=max-height] [selector=body] [msize=desktop] */
 body{max-height:0px} 
/* [rule=height] [selector=body] [msize=desktop] */
 body{height:0px} 
/* [rule=border-width] [selector=body] [msize=desktop] */
 body{border-width:0px} 
/* [rule=border-top-width] [selector=body] [msize=desktop] */
 body{border-top-width:0px} 
/* [rule=border-right-width] [selector=body] [msize=desktop] */
 body{border-right-width:0px} 
/* [rule=cursor] [selector=body] [msize=desktop] */
 body{cursor:auto}",,,,,,,,,,,,,,,
332,simple,,,"Recarga de 20 lt",1,0,visible,,,,,taxable,,1,,,,,,,default,,339417148,no-sidebar,1,,,,,,,,,,,,,,,,,
333,simple,,,"Envase + Recarga de 20 lt",1,0,visible,,,,,taxable,,1,,,,,,,default,,339447159,no-sidebar,1,,,,,,,,,,,,,,,,,
334,simple,,,"5 Recargas de 20 lt c/u",1,0,visible,,,,,taxable,,1,,,,,,,default,,339432265,no-sidebar,2,,,,default,default,default,default,default,default,set,,,,,,,
337,simple,,,"Bomba Electrónica USB (NO INCLUYE ENVIO)",1,0,visible,,,,,taxable,,1,,,,,,,default,,339440927,no-sidebar,1,,,,,default,,,,default,,default,,,,,,
338,simple,,,"Dispensador Básico (No incluye envio)",1,0,visible,,,,,taxable,,1,,,,,,,default,,339447100,no-sidebar,1,,,,,default,default,default,default,default,set,,,,,,,
848,simple,,,"Dispensador con filtro de sistema osmosis inversa",1,0,visible,"Dispensador de agua sistema OSMOSIS INVERSA, no ocupa bidones ya que purifica y filtra el agua potable, conectado directo a una llave de red potable.
\nDispensa agua en 3 temperaturas, fría, caliente y temperatura ambiente. Contamos con los filtros para su mantención y cambio anual.
\nEl sistema de purificación de osmosis inversa, consiste en, un proceso mediante el cual se purifica una muestra de agua eliminando las partículas en suspensión. La tecnología ósmosis inversa es un tipo de tratamiento físico-químico que copia a la naturaleza para eliminar impurezas del agua, haciéndola pasar a través de unas membranas semipermeables.
\n
\n*** NO INCLUYE SERVICIO DE INSTALACION***
\n
\n&nbsp;
\n
\n&nbsp;","Dispensador de agua sistema OSMOSIS INVERSA, no ocupa bidones ya que purifica y filtra el agua potable, conectado directo a una llave de red potable.
\nDispensa agua en 3 temperaturas, fría, caliente y temperatura ambiente. Contamos con los filtros para su mantención y cambio anual.
\nEl sistema de purificación de osmosis inversa, consiste en, un proceso mediante el cual se purifica una muestra de agua eliminando las partículas en suspensión. La tecnología ósmosis inversa es un tipo de tratamiento físico-químico que copia a la naturaleza para eliminar impurezas del agua, haciéndola pasar a través de unas membranas semipermeables.",,,taxable,,1,,,,,,,default,,504342143,no-sidebar,17,,,,,default,default,default,default,default,set,,product-post,3.1.1,3.0.10,0,,
851,simple,,,"Filtro sistema osmosis inversa",1,0,visible,"Filtro de osmosis inversa Agua Ser purificada.
\nMejora la calidad y sabor del agua de tu casa, filtro se instala debajo del lavaplatos. Elimina el 90% de las partículas, sustancias orgánicas y sales minerales, alcanzando una pureza de 20 a 60 PPM.
\nProcedimiento de filtrado, consta de 7 etapas, generando un litro de agua purificada, por 2 litros de rechazo.
\nIncluye bomba y estanque con de capacidad de 10 litros","Filtro de osmosis inversa Agua Ser purificada.
\nMejora la calidad y sabor del agua de tu casa, filtro se instala debajo del lavaplatos. Elimina el 90% de las partículas, sustancias orgánicas y sales minerales, alcanzando una pureza de 20 a 60 PPM.
\nProcedimiento de filtrado, consta de 7 etapas, generando un litro de agua purificada, por 2 litros de rechazo.
\nIncluye bomba y estanque con de capacidad de 10 litros",,,taxable,,1,,,,,,,default,,508183237,no-sidebar,2,,,,,default,default,default,default,default,set,,product-post,3.1.1,3.0.10,0,,
960,"simple, virtual",,,"Recarga PACK 12unidades de agua gasificada 500cc",1,0,visible,"Pack 12 unidades / Solo retiro en local.","Trae tu botella reciclable y hacemos tu recarga de agua gasificada.
\n
\nRecuerda traer 12 botellas de 500cc para la recarga de tu 12pack.",,,taxable,,1,,,,,,,default,,648206016,no-sidebar,6,,,,,,,,,,,,,,,,,
997,"simple, virtual",,,"Recarga PACK 6unidades agua gasificada 1.5lt",1,0,visible,"Pack 6 unidades / Solo retiro en local.","Trae tu botella reciclable y hacemos tu recarga de agua gasificada.
\n
\nRecuerda traer 6 botellas de 1.5lt para la recarga de tu 6pack.",,,taxable,,1,,,,,,,default,,648206016,no-sidebar,3,,,,,,,,,,,,,,,,,
999,"simple, virtual",,,"Recarga PACK 6unidades de agua gasificada 2.5lt",1,0,visible,"Pack 6 unidades / Solo retiro en local.","Trae tu botella reciclable y hacemos tu recarga de agua gasificada.
\n
\nRecuerda traer 6 botellas de 2.5lt para la recarga de tu 6pack.",,,taxable,,1,,,,,,,default,,648206016,no-sidebar,1,,,,,,,,,,,,,,,,,
1001,"simple, virtual",,,"Recarga PACK 6unidades de agua gasificada 3lt",1,0,visible,"Pack 6 unidades / Solo retiro en local.","Trae tu botella reciclable y hacemos tu recarga de agua gasificada.
\n
\nRecuerda traer 6 botellas de 3lt para la recarga de tu 6pack.",,,taxable,,1,,,,,,,default,,648206016,no-sidebar,10,,,,,,,,,,,,,,,,,
1003,simple,,,"Compresor para dispensador",1,0,visible,,,,,taxable,,1,,,,,,,default,,652536820,no-sidebar,9,,,,,default,default,default,default,default,set,,,,,,,
1541,simple,,,"Soporte para Bidones (NO INCLUYE ENVIO)",1,0,visible,"Reemplazo universal para dispensadores de agua frío/calor 17 cm diametro. ($9.990 c/u)
\n
\nENVIOS NO INCLUIDO, SE CALCULA DEPENDIENDO COMUNA","<img class=""alignnone size-medium wp-image-1543"" src=""https://www.aguaser.cl/wp-content/uploads/2022/04/Diseno-sin-titulo-300x251.png"" alt="""" width=""300"" height=""251"" />",,,none,,0,,,,,,,default,,1433429909,,1,,,,,default,default,default,default,default,set,default,,,,,,
1546,simple,,,"Racks para 5 Bidones de 20 lts( NO INCLUYE ENVIO)",1,0,visible,"Capacidad para 5 bidones","<img class=""alignnone size-medium wp-image-1547"" src=""https://www.aguaser.cl/wp-content/uploads/2022/04/rack-agua-purificada-vaiplast-2-600x600-1-300x300.jpg"" alt="""" width=""300"" height=""300"" />",,,none,,1,,,,,,,default,,1433567549,,4,,,,,default,,,,default,,default,,,,,,
