ID,SKU,Nombre,"Precio rebajado","Precio normal"
323,,"Dispensador Básico + 1 Bidón de 20 lt con envase",9500,12000
324,,"Dispensador Básico + 2 Bidones de 20 lt con envase",12500,15000
325,,"Dispensador Básico + 3 Bidones de 20 lt con envase",15500,18000
326,,"Dispensador Básico + 4 Bidones 20 lt con envase",18000,20000
327,,"Bomba Eléctrica USB + 1 Bidón de 20 lt con envase",9500,12000
328,,"Bomba Eléctrica USB + 2 Bidones de 20 lt con envase",12500,15000
329,,"Bomba Eléctrica USB + 3 Bidones de 20 lt con envase",15500,18000
330,,"Bomba Eléctrica USB + 4 Bidones 20 lt con envase",18000,20000
332,,"Recarga de 20 lt",,2500
333,,"Envase + Recarga de 20 lt",5000,5800
334,,"5 Recargas de 20 lt c/u",12500,14000
337,,"Bomba Electrónica USB (NO INCLUYE ENVIO)",2700,7000
338,,"Dispensador Básico (No incluye envio)",5000,7000
848,,"Dispensador con filtro de sistema osmosis inversa",297500,320000
851,,"Filtro sistema osmosis inversa",95000,120000
960,,"Recarga PACK 12unidades de agua gasificada 500cc",,4800
997,,"Recarga PACK 6unidades agua gasificada 1.5lt",,4200
999,,"Recarga PACK 6unidades de agua gasificada 2.5lt",,4800
1001,,"Recarga PACK 6unidades de agua gasificada 3lt",,6000
1003,,"Compresor para dispensador",55000,56000
1541,,"Soporte para Bidones (NO INCLUYE ENVIO)",9990,15990
1546,,"Racks para 5 Bidones de 20 lts( NO INCLUYE ENVIO)",40000,54000
1549,,"Llaves de repuesto para dispensadores frío/calor de pedestal (NO INCLUYE COSTOS DE ENVIO)",12000,15000
1553,,"Llaves de repuesto para dispensadores frío/calor de sobremesa (NO INCLUYE COSTOS DE ENVIO)",12000,15000
1559,,"Llaves de repuesto para dispensadores frío/calor de pedestal (NO INCLUYE COSTOS DE ENVIO)",12000,15000
1564,,"Bidón completo de 10 lts",,3900
1569,,"Recarga bidón de 10 lts",1800,2200
1571,,"Dispensador de Sobremesa para agua fría y caliente",39000,50000
1590,,"Dispensador de Pedestal 2 llaves con sistema compresor",,137000
1930,,"DISPENSADOR PEDESTAL 3 LLAVES CON SISTEMA COMPRESOR",,143000
1937,,"RACK PARA 3 BIDONES 20L",30000,35000
1941,,"RACK PARA 2 BIDONES 20L",,20000
1944,,"TAPAS PARA BIDONES DE 20L Y 10L",72,100
1947,,"MANILLA SUJETADORA DE BIDONES",1500,2000
1981,,"HIELO 1 KG / SOLO MAIPU",600,800
1984,,"HIELO 2 KG/ SOLO MAIPU",1200,1500
1987,,"RACK PARA 3 BIDONES 20 LITROS",18000,30000
2341,,"DISPENSADOR SOBREMESA AGUA FRIA Y CALIENTE",45000,50000
2346,,"DISPENSADOR DIGITAL DE TE INCLUYE TETERA Y HERVIDOR",80000,100000
2354,,"BIDON DESECHABLE 6 LITROS",1200,1500
2443,,"DISPENSADOR PEDESTAL 3 LLAVES",,
2444,,"DISPENSADOR PEDESTAL 3 LLAVES CON COMPRESOR",154700,170000
2447,,"DISPENSADOR PEDESTAL 2 LLAVES CON FRIGOBAR",130900,150000
2579,,"SERVICIO INSTALACION DISPENSADOR OSMOSIS",35700,40000
3094,,"KIT FILTROS OSMOSIS PARA DISPENSADORES",,
